,Menu,Day,Promotion,Month,Total_Qty,Sales_Status,Year,Date
12417,Chocolate,Saturday,No,3,26,Best Seller,2025,2025-03-29
12418,Cookies,Saturday,No,3,23,Best Seller,2025,2025-03-29
12419,Vietnamese Coffee,Saturday,Yes,3,14,Less Popular,2025,2025-03-29
12420,Iced Americano,Saturday,No,3,14,Less Popular,2025,2025-03-29
12421,Americano,Saturday,Yes,3,12,Less Popular,2025,2025-03-29
12422,Vietnamese Coffee,Saturday,Yes,3,12,Less Popular,2025,2025-03-29
12423,Red Velvet Latte,Saturday,Yes,3,25,Best Seller,2025,2025-03-29
12424,Chocolate,Saturday,Yes,3,33,Best Seller,2025,2025-03-29
12425,Iced Americano,Saturday,Yes,3,22,Less Popular,2025,2025-03-29
12426,Toast,Saturday,Yes,3,26,Best Seller,2025,2025-03-29
12427,Mineral Water,Saturday,No,3,15,Best Seller,2025,2025-03-29
12428,Chocolate,Saturday,No,3,23,Best Seller,2025,2025-03-29
12429,Iced Latte,Saturday,No,3,21,Less Popular,2025,2025-03-29
12430,Americano,Saturday,No,3,13,Less Popular,2025,2025-03-29
12431,Donut,Saturday,No,3,23,Best Seller,2025,2025-03-29
12432,Brownies,Saturday,No,3,27,Best Seller,2025,2025-03-29
12433,Mocha,Saturday,No,3,17,Best Seller,2025,2025-03-29
12434,Pain au Chocolat,Saturday,No,3,22,Best Seller,2025,2025-03-29
12435,Macchiato,Saturday,No,3,12,Less Popular,2025,2025-03-29
12436,Americano,Saturday,No,3,14,Less Popular,2025,2025-03-29
12437,Lychee Tea,Sunday,Yes,3,26,Best Seller,2025,2025-03-30
12438,Spaghetti,Sunday,No,3,20,Best Seller,2025,2025-03-30
12439,Lemon Tea,Sunday,No,3,17,Best Seller,2025,2025-03-30
12440,Pain au Chocolat,Sunday,No,3,22,Best Seller,2025,2025-03-30
12441,Green Tea,Sunday,No,3,16,Best Seller,2025,2025-03-30
12442,Mocha,Sunday,No,3,21,Best Seller,2025,2025-03-30
12443,Brownies,Sunday,No,3,21,Best Seller,2025,2025-03-30
12444,Red Velvet Latte,Sunday,Yes,3,29,Best Seller,2025,2025-03-30
12445,Tiramisu,Sunday,No,3,18,Best Seller,2025,2025-03-30
12446,Tea Latte,Sunday,Yes,3,17,Best Seller,2025,2025-03-30
12447,Taro Latte,Sunday,Yes,3,24,Best Seller,2025,2025-03-30
12448,Iced Americano,Sunday,No,3,16,Less Popular,2025,2025-03-30
12449,Vietnamese Coffee,Sunday,No,3,9,Less Popular,2025,2025-03-30
12450,Tiramisu,Sunday,Yes,3,20,Best Seller,2025,2025-03-30
12451,French Fries,Sunday,No,3,29,Best Seller,2025,2025-03-30
12452,Red Velvet Cake,Sunday,No,3,18,Best Seller,2025,2025-03-30
12453,Sandwich,Sunday,Yes,3,21,Best Seller,2025,2025-03-30
12454,Green Tea,Sunday,No,3,18,Best Seller,2025,2025-03-30
12455,Croissant,Sunday,No,3,31,Best Seller,2025,2025-03-30
12456,Americano,Sunday,No,3,13,Less Popular,2025,2025-03-30
12457,Lychee Tea,Sunday,No,3,24,Best Seller,2025,2025-03-30
12458,Espresso,Sunday,No,3,6,Less Popular,2025,2025-03-30
12459,Spaghetti,Sunday,No,3,17,Best Seller,2025,2025-03-30
12460,Muffin,Sunday,Yes,3,23,Best Seller,2025,2025-03-30
12461,Iced Latte,Sunday,No,3,23,Less Popular,2025,2025-03-30
12462,Lychee Tea,Monday,No,3,16,Less Popular,2025,2025-03-31
12463,Latte,Monday,Yes,3,23,Best Seller,2025,2025-03-31
12464,Chicken Wings,Monday,Yes,3,19,Best Seller,2025,2025-03-31
12465,Burger,Monday,No,3,13,Less Popular,2025,2025-03-31
12466,Red Velvet Cake,Monday,Yes,3,11,Less Popular,2025,2025-03-31
12467,Burger,Monday,No,3,15,Less Popular,2025,2025-03-31
12468,Matcha Latte,Monday,No,3,14,Less Popular,2025,2025-03-31
12469,Cappuccino,Monday,No,3,21,Best Seller,2025,2025-03-31
12470,Green Tea,Monday,Yes,3,14,Best Seller,2025,2025-03-31
12471,Flat White,Monday,Yes,3,16,Best Seller,2025,2025-03-31
12472,Muffin,Monday,No,3,11,Less Popular,2025,2025-03-31
12473,Latte,Monday,Yes,3,27,Best Seller,2025,2025-03-31
12474,Cold Brew,Monday,No,3,16,Less Popular,2025,2025-03-31
12475,Cappuccino,Monday,Yes,3,28,Best Seller,2025,2025-03-31
12476,Tiramisu,Monday,No,3,13,Less Popular,2025,2025-03-31
12477,Iced Americano,Monday,Yes,3,39,Best Seller,2025,2025-03-31
12478,Cheesecake,Monday,No,3,11,Less Popular,2025,2025-03-31
12479,Taro Latte,Monday,No,3,14,Less Popular,2025,2025-03-31
12480,Mineral Water,Monday,No,3,12,Less Popular,2025,2025-03-31
12481,Muffin,Monday,No,3,12,Less Popular,2025,2025-03-31
12482,Sandwich,Monday,No,3,11,Less Popular,2025,2025-03-31
12483,Green Tea,Tuesday,Yes,4,19,Best Seller,2025,2025-04-01
12484,Matcha Latte,Tuesday,No,4,15,Less Popular,2025,2025-04-01
12485,Taro Latte,Tuesday,No,4,10,Less Popular,2025,2025-04-01
12486,Macchiato,Tuesday,No,4,14,Less Popular,2025,2025-04-01
12487,Tea Latte,Tuesday,Yes,4,10,Less Popular,2025,2025-04-01
12488,Mineral Water,Tuesday,No,4,15,Less Popular,2025,2025-04-01
12489,Donut,Tuesday,No,4,18,Less Popular,2025,2025-04-01
12490,Burger,Tuesday,No,4,15,Less Popular,2025,2025-04-01
12491,Americano,Tuesday,Yes,4,21,Best Seller,2025,2025-04-01
12492,Lychee Tea,Tuesday,No,4,18,Less Popular,2025,2025-04-01
12493,Mocha,Tuesday,Yes,4,19,Less Popular,2025,2025-04-01
12494,Cheesecake,Tuesday,No,4,13,Less Popular,2025,2025-04-01
12495,Toast,Tuesday,No,4,15,Less Popular,2025,2025-04-01
12496,Toast,Tuesday,No,4,14,Less Popular,2025,2025-04-01
12497,Vietnamese Coffee,Tuesday,No,4,14,Best Seller,2025,2025-04-01
12498,Es Kopi Susu Gula Aren,Tuesday,No,4,25,Best Seller,2025,2025-04-01
12499,Chocolate,Tuesday,No,4,16,Less Popular,2025,2025-04-01
12500,Spaghetti,Tuesday,No,4,10,Less Popular,2025,2025-04-01
12501,Mineral Water,Tuesday,No,4,11,Less Popular,2025,2025-04-01
12502,Red Velvet Latte,Tuesday,Yes,4,13,Less Popular,2025,2025-04-01
12503,Vietnamese Coffee,Tuesday,No,4,15,Best Seller,2025,2025-04-01
12504,Cookies,Tuesday,No,4,15,Less Popular,2025,2025-04-01
12505,Cheesecake,Tuesday,No,4,12,Less Popular,2025,2025-04-01
12506,Donut,Tuesday,Yes,4,24,Best Seller,2025,2025-04-01
12507,Cappuccino,Tuesday,Yes,4,21,Best Seller,2025,2025-04-01
12508,Chicken Wings,Tuesday,No,4,16,Less Popular,2025,2025-04-01
12509,Red Velvet Latte,Wednesday,No,4,13,Less Popular,2025,2025-04-02
12510,Mineral Water,Wednesday,Yes,4,19,Best Seller,2025,2025-04-02
12511,Spaghetti,Wednesday,No,4,12,Less Popular,2025,2025-04-02
12512,Matcha Latte,Wednesday,No,4,16,Less Popular,2025,2025-04-02
12513,Cookies,Wednesday,Yes,4,19,Best Seller,2025,2025-04-02
12514,Peach Tea,Wednesday,No,4,17,Less Popular,2025,2025-04-02
12515,Red Velvet Latte,Wednesday,Yes,4,16,Less Popular,2025,2025-04-02
12516,Cappuccino,Wednesday,Yes,4,19,Best Seller,2025,2025-04-02
12517,Mineral Water,Wednesday,Yes,4,19,Best Seller,2025,2025-04-02
12518,Vietnamese Coffee,Wednesday,No,4,12,Best Seller,2025,2025-04-02
12519,Cappuccino,Wednesday,No,4,13,Less Popular,2025,2025-04-02
12520,Latte,Wednesday,Yes,4,20,Less Popular,2025,2025-04-02
12521,Sandwich,Wednesday,No,4,14,Less Popular,2025,2025-04-02
12522,Red Velvet Cake,Wednesday,No,4,10,Less Popular,2025,2025-04-02
12523,Tiramisu,Wednesday,Yes,4,13,Less Popular,2025,2025-04-02
12524,Brownies,Wednesday,Yes,4,15,Best Seller,2025,2025-04-02
12525,Spaghetti,Wednesday,Yes,4,15,Less Popular,2025,2025-04-02
12526,Macchiato,Wednesday,No,4,14,Less Popular,2025,2025-04-02
12527,Taro Latte,Wednesday,No,4,10,Less Popular,2025,2025-04-02
12528,Iced Latte,Wednesday,Yes,4,25,Best Seller,2025,2025-04-02
12529,Mocha,Wednesday,Yes,4,16,Less Popular,2025,2025-04-02
12530,Lemon Tea,Wednesday,Yes,4,24,Best Seller,2025,2025-04-02
12531,Mocha,Wednesday,No,4,17,Less Popular,2025,2025-04-02
12532,Red Velvet Cake,Wednesday,No,4,11,Less Popular,2025,2025-04-02
12533,Muffin,Wednesday,No,4,16,Less Popular,2025,2025-04-02
12534,Taro Latte,Wednesday,No,4,11,Less Popular,2025,2025-04-02
12535,Es Kopi Susu Gula Aren,Wednesday,Yes,4,36,Best Seller,2025,2025-04-02
12536,Chicken Wings,Wednesday,No,4,14,Less Popular,2025,2025-04-02
12537,Spaghetti,Wednesday,Yes,4,12,Less Popular,2025,2025-04-02
12538,Red Velvet Latte,Wednesday,No,4,12,Less Popular,2025,2025-04-02
12539,Affogato,Wednesday,No,4,7,Less Popular,2025,2025-04-02
12540,Cookies,Wednesday,No,4,16,Less Popular,2025,2025-04-02
12541,Cold Brew,Wednesday,No,4,21,Best Seller,2025,2025-04-02
12542,Cinnamon Roll,Wednesday,Yes,4,16,Best Seller,2025,2025-04-02
12543,Muffin,Wednesday,No,4,15,Less Popular,2025,2025-04-02
12544,Macchiato,Thursday,Yes,4,22,Best Seller,2025,2025-04-03
12545,Lemon Tea,Thursday,Yes,4,29,Best Seller,2025,2025-04-03
12546,Iced Latte,Thursday,No,4,22,Best Seller,2025,2025-04-03
12547,Espresso,Thursday,No,4,9,Less Popular,2025,2025-04-03
12548,Taro Latte,Thursday,Yes,4,16,Less Popular,2025,2025-04-03
12549,Americano,Thursday,No,4,18,Less Popular,2025,2025-04-03
12550,Sandwich,Thursday,Yes,4,13,Best Seller,2025,2025-04-03
12551,Flat White,Thursday,No,4,11,Less Popular,2025,2025-04-03
12552,Tea Latte,Thursday,No,4,8,Less Popular,2025,2025-04-03
12553,Mocha,Thursday,No,4,13,Less Popular,2025,2025-04-03
12554,Cheesecake,Thursday,Yes,4,11,Best Seller,2025,2025-04-03
12555,French Fries,Thursday,No,4,20,Less Popular,2025,2025-04-03
12556,Americano,Thursday,Yes,4,25,Best Seller,2025,2025-04-03
12557,Spaghetti,Thursday,Yes,4,13,Less Popular,2025,2025-04-03
12558,Iced Latte,Thursday,Yes,4,31,Best Seller,2025,2025-04-03
12559,Cold Brew,Thursday,No,4,19,Best Seller,2025,2025-04-03
12560,Burger,Thursday,No,4,13,Less Popular,2025,2025-04-03
12561,French Fries,Thursday,No,4,18,Less Popular,2025,2025-04-03
12562,French Fries,Thursday,Yes,4,24,Best Seller,2025,2025-04-03
12563,Macchiato,Thursday,No,4,14,Less Popular,2025,2025-04-03
12564,Green Tea,Thursday,No,4,13,Less Popular,2025,2025-04-03
12565,Cold Brew,Thursday,No,4,21,Best Seller,2025,2025-04-03
12566,Vietnamese Coffee,Thursday,No,4,12,Best Seller,2025,2025-04-03
12567,Chocolate,Thursday,No,4,14,Less Popular,2025,2025-04-03
12568,French Fries,Friday,No,4,16,Less Popular,2025,2025-04-04
12569,Cinnamon Roll,Friday,Yes,4,15,Best Seller,2025,2025-04-04
12570,Taro Latte,Friday,No,4,12,Less Popular,2025,2025-04-04
12571,Croissant,Friday,No,4,15,Less Popular,2025,2025-04-04
12572,Chicken Wings,Friday,No,4,19,Best Seller,2025,2025-04-04
12573,Red Velvet Cake,Friday,Yes,4,13,Best Seller,2025,2025-04-04
12574,Tea Latte,Friday,No,4,8,Less Popular,2025,2025-04-04
12575,Chicken Wings,Friday,Yes,4,18,Best Seller,2025,2025-04-04
12576,Iced Americano,Friday,Yes,4,37,Best Seller,2025,2025-04-04
12577,Toast,Friday,Yes,4,19,Best Seller,2025,2025-04-04
12578,Lychee Tea,Friday,No,4,21,Best Seller,2025,2025-04-04
12579,Burger,Friday,No,4,16,Best Seller,2025,2025-04-04
12580,Tiramisu,Friday,No,4,12,Best Seller,2025,2025-04-04
12581,Green Tea,Friday,No,4,16,Best Seller,2025,2025-04-04
12582,Burger,Friday,No,4,20,Best Seller,2025,2025-04-04
12583,Green Tea,Friday,Yes,4,20,Best Seller,2025,2025-04-04
12584,Chicken Wings,Friday,No,4,19,Best Seller,2025,2025-04-04
12585,Cookies,Friday,No,4,19,Less Popular,2025,2025-04-04
12586,Es Kopi Susu Gula Aren,Friday,No,4,25,Best Seller,2025,2025-04-04
12587,Lychee Tea,Friday,Yes,4,25,Best Seller,2025,2025-04-04
12588,Flat White,Friday,Yes,4,12,Less Popular,2025,2025-04-04
12589,Cookies,Friday,No,4,19,Less Popular,2025,2025-04-04
12590,Lemon Tea,Friday,No,4,25,Best Seller,2025,2025-04-04
12591,Taro Latte,Friday,No,4,12,Less Popular,2025,2025-04-04
12592,Lemon Tea,Friday,No,4,26,Best Seller,2025,2025-04-04
12593,Red Velvet Latte,Friday,No,4,15,Less Popular,2025,2025-04-04
12594,Lemon Tea,Friday,Yes,4,28,Best Seller,2025,2025-04-04
12595,Macchiato,Saturday,No,4,8,Less Popular,2025,2025-04-05
12596,Iced Latte,Saturday,No,4,31,Best Seller,2025,2025-04-05
12597,Americano,Saturday,No,4,13,Less Popular,2025,2025-04-05
12598,Croissant,Saturday,No,4,29,Best Seller,2025,2025-04-05
12599,Green Tea,Saturday,Yes,4,25,Best Seller,2025,2025-04-05
12600,Matcha Latte,Saturday,Yes,4,23,Best Seller,2025,2025-04-05
12601,Matcha Latte,Saturday,Yes,4,22,Best Seller,2025,2025-04-05
12602,Cheesecake,Saturday,Yes,4,21,Best Seller,2025,2025-04-05
12603,Sandwich,Saturday,Yes,4,22,Best Seller,2025,2025-04-05
12604,Green Tea,Saturday,No,4,22,Best Seller,2025,2025-04-05
12605,Tea Latte,Saturday,No,4,10,Best Seller,2025,2025-04-05
12606,Affogato,Saturday,No,4,12,Best Seller,2025,2025-04-05
12607,Matcha Latte,Saturday,No,4,26,Best Seller,2025,2025-04-05
12608,Green Tea,Saturday,Yes,4,22,Best Seller,2025,2025-04-05
12609,Lemon Tea,Saturday,Yes,4,31,Best Seller,2025,2025-04-05
12610,Chocolate,Saturday,No,4,25,Best Seller,2025,2025-04-05
12611,Espresso,Saturday,Yes,4,6,Less Popular,2025,2025-04-05
12612,Cold Brew,Saturday,No,4,12,Less Popular,2025,2025-04-05
12613,Mocha,Saturday,No,4,13,Less Popular,2025,2025-04-05
12614,Vietnamese Coffee,Saturday,No,4,14,Best Seller,2025,2025-04-05
12615,Red Velvet Latte,Saturday,Yes,4,21,Best Seller,2025,2025-04-05
12616,Vietnamese Coffee,Saturday,No,4,15,Best Seller,2025,2025-04-05
12617,Americano,Saturday,No,4,11,Less Popular,2025,2025-04-05
12618,Muffin,Saturday,Yes,4,22,Best Seller,2025,2025-04-05
12619,Brownies,Saturday,Yes,4,23,Best Seller,2025,2025-04-05
12620,Spaghetti,Saturday,No,4,19,Best Seller,2025,2025-04-05
12621,Pain au Chocolat,Saturday,No,4,22,Best Seller,2025,2025-04-05
12622,French Fries,Sunday,No,4,30,Best Seller,2025,2025-04-06
12623,Lemon Tea,Sunday,No,4,28,Best Seller,2025,2025-04-06
12624,Cappuccino,Sunday,Yes,4,21,Less Popular,2025,2025-04-06
12625,Red Velvet Cake,Sunday,No,4,19,Best Seller,2025,2025-04-06
12626,Iced Americano,Sunday,No,4,22,Less Popular,2025,2025-04-06
12627,Mineral Water,Sunday,No,4,18,Best Seller,2025,2025-04-06
12628,Red Velvet Latte,Sunday,No,4,20,Best Seller,2025,2025-04-06
12629,Toast,Sunday,Yes,4,21,Best Seller,2025,2025-04-06
12630,Iced Americano,Sunday,No,4,23,Less Popular,2025,2025-04-06
12631,Lemon Tea,Sunday,No,4,29,Best Seller,2025,2025-04-06
12632,Donut,Sunday,Yes,4,33,Best Seller,2025,2025-04-06
12633,Flat White,Sunday,No,4,14,Less Popular,2025,2025-04-06
12634,Croissant,Sunday,No,4,22,Best Seller,2025,2025-04-06
12635,Latte,Sunday,Yes,4,16,Less Popular,2025,2025-04-06
12636,Chocolate,Sunday,No,4,26,Best Seller,2025,2025-04-06
12637,Affogato,Sunday,No,4,10,Best Seller,2025,2025-04-06
12638,Lychee Tea,Sunday,No,4,35,Best Seller,2025,2025-04-06
12639,Mineral Water,Sunday,Yes,4,19,Best Seller,2025,2025-04-06
12640,Mocha,Sunday,No,4,15,Less Popular,2025,2025-04-06
12641,Iced Americano,Sunday,No,4,22,Less Popular,2025,2025-04-06
12642,Mineral Water,Sunday,Yes,4,23,Best Seller,2025,2025-04-06
12643,Chicken Wings,Sunday,No,4,24,Best Seller,2025,2025-04-06
12644,Chocolate,Sunday,Yes,4,24,Best Seller,2025,2025-04-06
12645,Lychee Tea,Sunday,No,4,34,Best Seller,2025,2025-04-06
12646,Sandwich,Sunday,Yes,4,19,Best Seller,2025,2025-04-06
12647,Burger,Sunday,No,4,20,Best Seller,2025,2025-04-06
12648,French Fries,Sunday,No,4,30,Best Seller,2025,2025-04-06
12649,Red Velvet Cake,Sunday,No,4,15,Best Seller,2025,2025-04-06
12650,Sandwich,Sunday,Yes,4,17,Best Seller,2025,2025-04-06
12651,Taro Latte,Sunday,Yes,4,19,Best Seller,2025,2025-04-06
12652,Lemon Tea,Sunday,Yes,4,31,Best Seller,2025,2025-04-06
12653,Tea Latte,Sunday,Yes,4,12,Best Seller,2025,2025-04-06
12654,Tiramisu,Sunday,No,4,19,Best Seller,2025,2025-04-06
12655,Cheesecake,Sunday,No,4,16,Best Seller,2025,2025-04-06
12656,Green Tea,Sunday,Yes,4,18,Best Seller,2025,2025-04-06
12657,Espresso,Sunday,No,4,6,Less Popular,2025,2025-04-06
12658,Tiramisu,Sunday,No,4,21,Best Seller,2025,2025-04-06
12659,Vietnamese Coffee,Sunday,No,4,12,Best Seller,2025,2025-04-06
12660,Brownies,Monday,No,4,12,Less Popular,2025,2025-04-07
12661,Muffin,Monday,No,4,13,Less Popular,2025,2025-04-07
12662,Espresso,Monday,No,4,9,Less Popular,2025,2025-04-07
12663,Tiramisu,Monday,Yes,4,13,Less Popular,2025,2025-04-07
12664,Cold Brew,Monday,Yes,4,27,Best Seller,2025,2025-04-07
12665,Mocha,Monday,No,4,16,Less Popular,2025,2025-04-07
12666,Tea Latte,Monday,Yes,4,8,Less Popular,2025,2025-04-07
12667,Red Velvet Cake,Monday,Yes,4,11,Less Popular,2025,2025-04-07
12668,Es Kopi Susu Gula Aren,Monday,Yes,4,39,Best Seller,2025,2025-04-07
12669,Macchiato,Monday,No,4,15,Less Popular,2025,2025-04-07
12670,Spaghetti,Monday,No,4,12,Less Popular,2025,2025-04-07
12671,Latte,Monday,No,4,15,Less Popular,2025,2025-04-07
12672,Iced Latte,Monday,Yes,4,34,Best Seller,2025,2025-04-07
12673,Red Velvet Cake,Monday,Yes,4,11,Less Popular,2025,2025-04-07
12674,Latte,Monday,No,4,20,Less Popular,2025,2025-04-07
12675,Tiramisu,Monday,No,4,13,Less Popular,2025,2025-04-07
12676,Burger,Monday,No,4,13,Less Popular,2025,2025-04-07
12677,Tiramisu,Monday,No,4,9,Less Popular,2025,2025-04-07
12678,Cookies,Monday,No,4,14,Less Popular,2025,2025-04-07
12679,Macchiato,Tuesday,No,4,13,Less Popular,2025,2025-04-08
12680,Chicken Wings,Tuesday,Yes,4,18,Best Seller,2025,2025-04-08
12681,Chocolate,Tuesday,No,4,15,Less Popular,2025,2025-04-08
12682,Croissant,Tuesday,Yes,4,18,Best Seller,2025,2025-04-08
12683,Donut,Tuesday,No,4,16,Less Popular,2025,2025-04-08
12684,Es Kopi Susu Gula Aren,Tuesday,No,4,31,Best Seller,2025,2025-04-08
12685,Flat White,Tuesday,Yes,4,14,Less Popular,2025,2025-04-08
12686,Lychee Tea,Tuesday,Yes,4,28,Best Seller,2025,2025-04-08
12687,Cold Brew,Tuesday,No,4,16,Best Seller,2025,2025-04-08
12688,Cheesecake,Tuesday,No,4,11,Less Popular,2025,2025-04-08
12689,Flat White,Tuesday,No,4,13,Less Popular,2025,2025-04-08
12690,Tiramisu,Tuesday,No,4,12,Less Popular,2025,2025-04-08
12691,Green Tea,Tuesday,No,4,14,Less Popular,2025,2025-04-08
12692,Affogato,Tuesday,No,4,7,Less Popular,2025,2025-04-08
12693,Toast,Tuesday,No,4,16,Less Popular,2025,2025-04-08
12694,Burger,Tuesday,Yes,4,17,Best Seller,2025,2025-04-08
12695,Chocolate,Tuesday,No,4,16,Less Popular,2025,2025-04-08
12696,Croissant,Tuesday,No,4,15,Less Popular,2025,2025-04-08
12697,Chocolate,Tuesday,No,4,12,Less Popular,2025,2025-04-08
12698,French Fries,Tuesday,No,4,20,Less Popular,2025,2025-04-08
12699,Pain au Chocolat,Tuesday,Yes,4,19,Best Seller,2025,2025-04-08
12700,Sandwich,Tuesday,Yes,4,15,Best Seller,2025,2025-04-08
12701,Cookies,Tuesday,No,4,16,Less Popular,2025,2025-04-08
12702,Red Velvet Cake,Tuesday,No,4,10,Less Popular,2025,2025-04-08
12703,Vietnamese Coffee,Wednesday,Yes,4,19,Best Seller,2025,2025-04-09
12704,Chocolate,Wednesday,No,4,14,Less Popular,2025,2025-04-09
12705,Cookies,Wednesday,No,4,16,Less Popular,2025,2025-04-09
12706,Lemon Tea,Wednesday,Yes,4,23,Best Seller,2025,2025-04-09
12707,Red Velvet Latte,Wednesday,No,4,12,Less Popular,2025,2025-04-09
12708,Cookies,Wednesday,No,4,16,Less Popular,2025,2025-04-09
12709,Cinnamon Roll,Wednesday,No,4,14,Less Popular,2025,2025-04-09
12710,Muffin,Wednesday,Yes,4,14,Best Seller,2025,2025-04-09
12711,Cold Brew,Wednesday,No,4,21,Best Seller,2025,2025-04-09
12712,Iced Latte,Wednesday,No,4,23,Best Seller,2025,2025-04-09
12713,Lemon Tea,Wednesday,Yes,4,23,Best Seller,2025,2025-04-09
12714,Mineral Water,Wednesday,No,4,12,Less Popular,2025,2025-04-09
12715,Espresso,Wednesday,No,4,9,Less Popular,2025,2025-04-09
12716,Tea Latte,Wednesday,No,4,8,Less Popular,2025,2025-04-09
12717,Mineral Water,Wednesday,Yes,4,13,Best Seller,2025,2025-04-09
12718,Lemon Tea,Wednesday,No,4,20,Less Popular,2025,2025-04-09
12719,Burger,Wednesday,Yes,4,14,Best Seller,2025,2025-04-09
12720,Iced Americano,Wednesday,No,4,36,Best Seller,2025,2025-04-09
12721,Es Kopi Susu Gula Aren,Wednesday,Yes,4,40,Best Seller,2025,2025-04-09
12722,Es Kopi Susu Gula Aren,Wednesday,Yes,4,41,Best Seller,2025,2025-04-09
12723,Lemon Tea,Wednesday,Yes,4,27,Best Seller,2025,2025-04-09
12724,Lemon Tea,Wednesday,No,4,19,Less Popular,2025,2025-04-09
12725,Cinnamon Roll,Wednesday,Yes,4,16,Best Seller,2025,2025-04-09
12726,Red Velvet Cake,Wednesday,Yes,4,12,Less Popular,2025,2025-04-09
12727,Cappuccino,Wednesday,No,4,15,Less Popular,2025,2025-04-09
12728,Lemon Tea,Wednesday,No,4,18,Less Popular,2025,2025-04-09
12729,Flat White,Thursday,No,4,13,Less Popular,2025,2025-04-10
12730,Mocha,Thursday,No,4,14,Less Popular,2025,2025-04-10
12731,Espresso,Thursday,Yes,4,12,Best Seller,2025,2025-04-10
12732,Tiramisu,Thursday,No,4,11,Less Popular,2025,2025-04-10
12733,Cold Brew,Thursday,No,4,20,Best Seller,2025,2025-04-10
12734,Chicken Wings,Thursday,Yes,4,20,Best Seller,2025,2025-04-10
12735,Cinnamon Roll,Thursday,No,4,12,Less Popular,2025,2025-04-10
12736,Spaghetti,Thursday,Yes,4,12,Less Popular,2025,2025-04-10
12737,Espresso,Thursday,No,4,7,Less Popular,2025,2025-04-10
12738,Matcha Latte,Thursday,Yes,4,16,Less Popular,2025,2025-04-10
12739,Vietnamese Coffee,Thursday,Yes,4,17,Best Seller,2025,2025-04-10
12740,Chicken Wings,Thursday,Yes,4,18,Best Seller,2025,2025-04-10
12741,Es Kopi Susu Gula Aren,Thursday,Yes,4,33,Best Seller,2025,2025-04-10
12742,Mocha,Thursday,No,4,17,Less Popular,2025,2025-04-10
12743,Americano,Thursday,No,4,18,Less Popular,2025,2025-04-10
12744,Vietnamese Coffee,Thursday,Yes,4,19,Best Seller,2025,2025-04-10
12745,Iced Americano,Thursday,No,4,33,Best Seller,2025,2025-04-10
12746,Cappuccino,Thursday,No,4,13,Less Popular,2025,2025-04-10
12747,Donut,Thursday,Yes,4,23,Best Seller,2025,2025-04-10
12748,Chicken Wings,Thursday,No,4,15,Less Popular,2025,2025-04-10
12749,Cinnamon Roll,Thursday,No,4,15,Less Popular,2025,2025-04-10
12750,Flat White,Thursday,Yes,4,11,Less Popular,2025,2025-04-10
12751,Spaghetti,Thursday,Yes,4,16,Less Popular,2025,2025-04-10
12752,Toast,Thursday,No,4,14,Less Popular,2025,2025-04-10
12753,Muffin,Thursday,No,4,13,Less Popular,2025,2025-04-10
12754,Latte,Thursday,Yes,4,22,Less Popular,2025,2025-04-10
12755,Chocolate,Thursday,No,4,20,Less Popular,2025,2025-04-10
12756,Macchiato,Friday,No,4,14,Less Popular,2025,2025-04-11
12757,Americano,Friday,No,4,16,Less Popular,2025,2025-04-11
12758,Cheesecake,Friday,Yes,4,13,Best Seller,2025,2025-04-11
12759,Iced Latte,Friday,No,4,29,Best Seller,2025,2025-04-11
12760,Brownies,Friday,No,4,17,Best Seller,2025,2025-04-11
12761,Donut,Friday,Yes,4,23,Best Seller,2025,2025-04-11
12762,Brownies,Friday,No,4,16,Best Seller,2025,2025-04-11
12763,Tea Latte,Friday,Yes,4,11,Less Popular,2025,2025-04-11
12764,Cold Brew,Friday,No,4,17,Best Seller,2025,2025-04-11
12765,Tea Latte,Friday,Yes,4,11,Less Popular,2025,2025-04-11
12766,Pain au Chocolat,Friday,No,4,15,Less Popular,2025,2025-04-11
12767,Tea Latte,Friday,No,4,8,Less Popular,2025,2025-04-11
12768,Toast,Friday,No,4,18,Less Popular,2025,2025-04-11
12769,Spaghetti,Friday,No,4,14,Best Seller,2025,2025-04-11
12770,Red Velvet Latte,Friday,No,4,12,Less Popular,2025,2025-04-11
12771,Lemon Tea,Friday,No,4,18,Best Seller,2025,2025-04-11
12772,Mineral Water,Friday,Yes,4,17,Best Seller,2025,2025-04-11
12773,Croissant,Friday,No,4,25,Less Popular,2025,2025-04-11
12774,Affogato,Friday,Yes,4,8,Less Popular,2025,2025-04-11
12775,Sandwich,Friday,No,4,16,Best Seller,2025,2025-04-11
12776,Burger,Friday,Yes,4,16,Best Seller,2025,2025-04-11
12777,Cheesecake,Friday,No,4,13,Best Seller,2025,2025-04-11
12778,Matcha Latte,Friday,No,4,18,Less Popular,2025,2025-04-11
12779,Chocolate,Friday,Yes,4,20,Less Popular,2025,2025-04-11
12780,Muffin,Friday,No,4,18,Less Popular,2025,2025-04-11
12781,Red Velvet Cake,Friday,No,4,14,Best Seller,2025,2025-04-11
12782,Mocha,Friday,No,4,15,Less Popular,2025,2025-04-11
12783,Cookies,Friday,No,4,18,Less Popular,2025,2025-04-11
12784,Green Tea,Friday,Yes,4,22,Best Seller,2025,2025-04-11
12785,Americano,Friday,Yes,4,16,Best Seller,2025,2025-04-11
12786,Tiramisu,Saturday,No,4,22,Best Seller,2025,2025-04-12
12787,Cheesecake,Saturday,No,4,18,Best Seller,2025,2025-04-12
